罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,南,東蒔田町,141054,神奈川県,横浜市南区,共進町１丁目,2018-07-01,02,道路上,女性,20歳代,あり
窃盗,ひったくり,南,平楽,141054,神奈川県,横浜市南区,平楽,2018-05-20,02,道路上,男性,40歳代,あり
窃盗,ひったくり,南,吉野町,141054,神奈川県,横浜市南区,白金町２丁目,2018-06-29,03,道路上,女性,70歳以上,あり
窃盗,ひったくり,南,吉野町,141054,神奈川県,横浜市南区,新川町５丁目,2018-06-27,03,道路上,女性,20歳代,あり
窃盗,ひったくり,南,吉野町,141054,神奈川県,横浜市南区,日枝町４丁目,2018-01-30,03,道路上,女性,20歳代,あり
窃盗,ひったくり,南,久保山,141054,神奈川県,横浜市南区,三春台,2018-12-24,22,道路上,女性,30歳代,あり
窃盗,ひったくり,南,南太田,141054,神奈川県,横浜市南区,南太田４丁目,2017-12-24,08,道路上,女性,10歳代,あり
窃盗,ひったくり,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2018-06-09,00,道路上,女性,40歳代,あり
窃盗,ひったくり,南,永田,141054,神奈川県,横浜市南区,永田東２丁目,2018-01-09,05,道路上,女性,20歳代,なし
窃盗,ひったくり,南,別所町,141054,神奈川県,横浜市南区,中里４丁目,2018-08-15,18,道路上,女性,20歳代,あり
窃盗,ひったくり,南,通町,141054,神奈川県,横浜市南区,大橋町３丁目,2018-02-20,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,大和,大和駅前,142131,神奈川県,大和市,中央４丁目,2018-12-08,20,道路上,女性,60-64歳,あり
窃盗,ひったくり,大和,大和駅前,142131,神奈川県,大和市,柳橋１丁目,2018-12-26,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間２丁目,2018-01-27,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,大和,鶴間駅前,142131,神奈川県,大和市,鶴間２丁目,2018-11-24,19,道路上,女性,30歳代,あり
窃盗,ひったくり,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野４丁目,2018-08-04,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,大和,桜ヶ丘,142131,神奈川県,大和市,柳橋２丁目,2018-12-04,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,大和,福田,142131,神奈川県,大和市,代官４丁目,2018-01-14,18,道路上,女性,50歳代,あり
窃盗,ひったくり,大和,上土棚,142182,神奈川県,綾瀬市,上土棚北４丁目,2018-12-14,16,道路上,女性,40歳代,あり
窃盗,ひったくり,大和,上土棚,142182,神奈川県,綾瀬市,上土棚南２丁目,2018-11-20,11,道路上,女性,50歳代,あり
窃盗,ひったくり,泉,中田,141160,神奈川県,横浜市泉区,中田西１丁目,2018-02-02,18,道路上,女性,60-64歳,なし
