罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2018-12-08,17,一戸建住宅,キーあり,なし,貨物自動車
窃盗,自動車盗,南,浦舟町,141054,神奈川県,横浜市南区,高根町３丁目,2018-01-28,01,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,大和,大和駅前,142131,神奈川県,大和市,草柳１丁目,2018-05-27,18,４階建て以上共同住宅,キーあり,なし,乗用自動車
窃盗,自動車盗,大和,福田,142131,神奈川県,大和市,代官２丁目,2018-09-03,23,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,大和,福田,142131,神奈川県,大和市,福田,2018-06-12,23,道路上,キーあり,なし,乗用自動車
窃盗,自動車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷南５丁目,2018-03-26,18,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,泉,中田,141160,神奈川県,横浜市泉区,中田東１丁目,2018-08-23,15,４階建て以上共同住宅,キーあり,なし,乗用自動車
窃盗,自動車盗,泉,弥生台駅前,141160,神奈川県,横浜市泉区,新橋町,2018-07-11,18,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,特殊自動車
窃盗,自動車盗,戸塚,深谷,141101,神奈川県,横浜市戸塚区,汲沢町,2018-11-10,22,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,旭,都岡,141127,神奈川県,横浜市旭区,下川井町,2018-09-08,18,その他,キーあり,なし,その他
窃盗,自動車盗,加賀町,尾上町,141046,神奈川県,横浜市中区,常盤町２丁目,2018-04-30,12,道路上,キーあり,なし,乗用自動車
窃盗,自動車盗,加賀町,山下町,141046,神奈川県,横浜市中区,山下町,2018-07-20,03,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,金沢,富岡,141089,神奈川県,横浜市金沢区,富岡東１丁目,2018-11-10,17,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,伊勢佐木,寿町,141046,神奈川県,横浜市中区,石川町２丁目,2018-04-06,23,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,福富町西通,2018-01-19,19,道路上,キーあり,あり,乗用自動車
窃盗,自動車盗,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,福富町西通,2018-04-04,11,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,伊勢佐木,都橋,141046,神奈川県,横浜市中区,野毛町３丁目,2018-10-10,21,道路上,キーあり,なし,乗用自動車
窃盗,自動車盗,戸部,高島,141038,神奈川県,横浜市西区,戸部本町,不明,不明,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,戸部,一本松,141038,神奈川県,横浜市西区,西戸部町２丁目,2018-01-07,06,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,神奈川,菅田,141020,神奈川県,横浜市神奈川区,菅田町,2018-05-10,13,道路上,キーあり,なし,乗用自動車
窃盗,自動車盗,鶴見,潮田,141011,神奈川県,横浜市鶴見区,潮田町４丁目,2018-09-22,14,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,鶴見,東寺尾,141011,神奈川県,横浜市鶴見区,馬場５丁目,2018-07-01,05,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡２丁目,2018-09-22,18,その他,キーあり,なし,特殊自動車
窃盗,自動車盗,港南,野庭,141119,神奈川県,横浜市港南区,野庭町,2018-07-25,14,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,緑,北八朔町,141135,神奈川県,横浜市緑区,北八朔町,2018-10-05,22,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,港北,新羽駅前,141097,神奈川県,横浜市港北区,新吉田東８丁目,2018-11-23,19,道路上,キーあり,なし,乗用自動車
窃盗,自動車盗,栄,豊田,141151,神奈川県,横浜市栄区,飯島町,2018-08-08,00,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,都筑,池辺町,141186,神奈川県,横浜市都筑区,池辺町,2018-10-15,21,駐車（輪）場,キーあり,なし,特殊自動車
