罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,榎町１丁目,2018-11-02,17,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,共進町３丁目,2018-06-29,07,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,東蒔田町,2018-03-25,18,一戸建住宅,60-64歳,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,東蒔田町,2018-08-06,20,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,東蒔田町,2018-10-02,07,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,東蒔田町,2018-10-09,07,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,2018-05-19,22,道路上,20歳代,その他,施錠した
窃盗,自転車盗,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,2018-05-24,12,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,2018-06-20,17,道路上,30歳代,その他,施錠した
窃盗,自転車盗,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,2018-11-27,16,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,中村町１丁目,2018-02-11,09,道路上,10歳代,小学生,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,中村町２丁目,2018-01-02,15,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,中村町３丁目,2018-10-05,18,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,八幡町,2018-08-28,06,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,八幡町,2018-09-09,22,道路上,20歳代,その他,施錠した
