罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,南,中村橋,141054,神奈川県,横浜市南区,中村町５丁目,2019-07-19,10,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,大岡町,141054,神奈川県,横浜市南区,大岡５丁目,2019-09-20,08,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷上町,2019-08-19,15,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,永田,141054,神奈川県,横浜市南区,永田北３丁目,2019-02-17,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2019-04-02,10,４階建て以上共同住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2019-03-08,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南,浦舟町,141054,神奈川県,横浜市南区,真金町１丁目,2019-01-29,02,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,,141127,神奈川県,横浜市旭区,善部町,2019-09-20,18,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,大和駅前,142131,神奈川県,大和市,上草柳２丁目,2019-04-26,19,一戸建住宅,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大和,大和駅前,142131,神奈川県,大和市,中央１丁目,2019-11-14,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
