罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,現金被害の有無
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-01-08,22,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-01-08,22,,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-02-07,22,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-02-27,18,,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-03-16,18,,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-03-29,19,,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-10-19,17,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,蒔田町,2019-01-07,15,,施錠せず,なし
窃盗,車上ねらい,南,中村橋,141054,神奈川県,横浜市南区,睦町１丁目,2019-11-16,18,,施錠せず,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,新川町３丁目,2019-01-24,21,,施錠せず,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,西中町２丁目,2019-01-16,12,,施錠せず,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,日枝町２丁目,2019-06-29,19,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,二葉町１丁目,2019-09-17,21,,施錠せず,あり
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,前里町３丁目,2019-08-14,22,,施錠せず,なし
窃盗,車上ねらい,南,久保山,141054,神奈川県,横浜市南区,三春台,2019-11-26,20,,施錠せず,なし
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2019-12-12,00,,施錠せず,なし
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田４丁目,2019-03-15,17,,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡３丁目,2019-03-31,02,,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡４丁目,2018-12-28,16,,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡４丁目,2019-03-30,19,,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡５丁目,2019-10-26,19,,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡５丁目,2019-10-29,20,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷中町,2019-07-04,09,,施錠せず,なし
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田東１丁目,2019-07-25,22,,施錠せず,あり
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田南１丁目,2019-01-21,19,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2019-10-23,20,,施錠せず,あり
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2019-12-28,17,,施錠せず,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北３丁目,2019-10-16,17,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田台,2019-07-01,23,,施錠せず,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田台,2019-12-07,18,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田東２丁目,2019-08-05,17,,施錠せず,なし
窃盗,車上ねらい,南,六ツ川,141054,神奈川県,横浜市南区,永田山王台,2019-01-04,12,,施錠せず,なし
窃盗,車上ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2018-12-30,07,,施錠せず,なし
窃盗,車上ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2019-10-16,19,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所３丁目,2019-01-18,18,,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所４丁目,2019-04-08,19,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2019-08-20,09,,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2019-12-06,17,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所７丁目,2019-02-11,14,,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所７丁目,2019-09-11,17,,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2018-12-30,22,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2019-12-21,13,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2019-11-01,18,,施錠せず,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川２丁目,2019-01-02,17,,施錠せず,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川２丁目,2019-01-04,17,,施錠せず,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2019-07-02,20,一戸建住宅,施錠せず,あり
