罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2020-06-04,02,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,南,通町,141054,神奈川県,横浜市南区,宿町２丁目,2020-12-28,02,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,南,浦舟町,141054,神奈川県,横浜市南区,永楽町１丁目,2020-10-23,20,道路上,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,南,浦舟町,141054,神奈川県,横浜市南区,白妙町４丁目,2020-11-04,20,道路上,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,大和,鶴間駅前,142131,神奈川県,大和市,深見,2020-03-24,18,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,大和,福田,142131,神奈川県,大和市,下和田,2020-12-10,20,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,大和,上土棚,142182,神奈川県,綾瀬市,上土棚北３丁目,2020-09-24,01,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,大和,寺尾,142182,神奈川県,綾瀬市,小園,2020-03-06,19,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,大和,寺尾,142182,神奈川県,綾瀬市,小園,2020-09-05,02,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,大和,深谷,142182,神奈川県,綾瀬市,深谷中３丁目,2020-11-30,16,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,舞岡町,2020-07-12,17,一戸建住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,旭,上川井,141127,神奈川県,横浜市旭区,上川井町,2020-10-05,17,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,旭,笹野台,141127,神奈川県,横浜市旭区,笹野台４丁目,2020-12-21,06,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,加賀町,本町,141046,神奈川県,横浜市中区,住吉町３丁目,2020-12-26,19,道路上,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,磯子,,141119,神奈川県,横浜市港南区,上永谷町,2020-03-25,06,道路上,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,磯子,丸山,141071,神奈川県,横浜市磯子区,久木町,2020-03-14,14,道路上,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,磯子,洋光台,141071,神奈川県,横浜市磯子区,洋光台２丁目,2020-02-04,06,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,曙町５丁目,2019-09-22,04,道路上,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,伊勢佐木,寿町,141046,神奈川県,横浜市中区,寿町４丁目,2020-10-06,01,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,伊勢佐木,桜木町駅前,141046,神奈川県,横浜市中区,桜木町１丁目,2020-11-06,16,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,戸部,みなとみらい,141038,神奈川県,横浜市西区,みなとみらい３丁目,2020-11-16,10,その他,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,斎藤分町,2020-11-03,16,一戸建住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,保土ケ谷,元町橋,141062,神奈川県,横浜市保土ケ谷区,権太坂２丁目,2020-04-14,00,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,緑,中山駅前,141135,神奈川県,横浜市緑区,三保町,2020-11-28,05,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,港北,新羽駅前,141097,神奈川県,横浜市港北区,新羽町,2020-09-07,02,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,瀬谷,瀬谷駅前,141143,神奈川県,横浜市瀬谷区,二ツ橋町,2020-12-03,20,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,瀬谷,南台,141143,神奈川県,横浜市瀬谷区,三ツ境,2020-12-30,02,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,瀬谷,阿久和町,141143,神奈川県,横浜市瀬谷区,阿久和南４丁目,2020-06-29,12,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,青葉,市が尾駅前,141178,神奈川県,横浜市青葉区,市ケ尾町,2020-10-15,21,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,麻生,柿生,141372,神奈川県,川崎市麻生区,上麻生７丁目,2020-09-28,22,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,浅田３丁目,2020-09-05,05,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎４丁目,2020-10-28,20,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,田辺新田,2020-02-16,17,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,川崎臨港,殿町,141313,神奈川県,川崎市川崎区,殿町２丁目,2020-05-26,15,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,川崎臨港,殿町,141313,神奈川県,川崎市川崎区,東扇島,2020-12-11,22,道路上,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,高津,北見方,141348,神奈川県,川崎市高津区,溝口４丁目,2020-06-20,00,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,宮前,鷺沼駅前,141364,神奈川県,川崎市宮前区,鷺沼１丁目,2020-09-04,20,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,宮前,鷺沼駅前,141364,神奈川県,川崎市宮前区,鷺沼１丁目,2020-09-15,19,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,宮前,神木,141364,神奈川県,川崎市宮前区,平３丁目,2020-10-15,17,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,藤沢北,長後駅前,142051,神奈川県,藤沢市,高倉,2020-02-15,20,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,鎌倉,滑川,142042,神奈川県,鎌倉市,由比ガ浜２丁目,2020-01-20,14,その他,駐車（輪）場,キーあり,なし,特殊自動車
窃盗,自動車盗,藤沢,藤沢駅南口,142051,神奈川県,藤沢市,南藤沢,2020-11-27,23,道路上,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,茅ケ崎,小出,142077,神奈川県,茅ヶ崎市,行谷,2020-11-29,21,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,平塚,花水台,142034,神奈川県,平塚市,桃浜町,2020-01-06,05,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,平塚,豊田,142034,神奈川県,平塚市,豊田本郷,2020-02-16,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,貨物自動車
