罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,東蒔田町,2019/12/26,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町１丁目,2020/2/4,22,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町１丁目,2020/3/4,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,蒔田町,2019/9/14,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,蒔田町,2020/2/27,18,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,南,東蒔田町,141054,神奈川県,横浜市南区,蒔田町,2020/6/27,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,2020/4/25,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,2020/4/29,17,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,南,中村橋,141054,神奈川県,横浜市南区,中村町５丁目,2020/12/22,18,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,南,中村橋,141054,神奈川県,横浜市南区,睦町１丁目,2020/8/22,2,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,中村町１丁目,2020/5/23,22,道路上,その他,60-64歳,その他,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,中村町２丁目,2019/12/1,17,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,中村町２丁目,2020/8/12,15,道路上,その他,30歳代,その他,施錠した
窃盗,自転車盗,南,八幡町,141054,神奈川県,横浜市南区,中村町３丁目,2020/10/15,18,その他の住宅（３階建て以下共同住宅等）,その他,70歳以上,その他,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,新川町５丁目,2020/4/16,18,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,南,吉野町,141054,神奈川県,横浜市南区,高砂町３丁目,2020/6/20,20,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
